order,title,slug,industry,status,isOnline,featured,featuredOrder,cover
0,海尔智家 · 用 Agent OS 把 AI 能力交到每一位员工手上,haier-agent-os,制造业,published,true,true,1,
1,鑫方盛集团 · 用 ADP 把工业品供应链从头跑在 Agent 上,xinfangsheng-adp-supply-chain,制造业,published,true,true,2,
2,TCL 实业 · 用 CodeBuddy 让研发团队从改不动老代码里解放出来,tcl-codebuddy-legacy,制造业,published,true,true,3,
3,某电力设计院 · 用知识库把合规审查从周级压到小时级,power-design-institute-compliance,制造业,published,true,true,4,
4,西安经开第十小学 · 用 WorkBuddy 把备课时间压掉 80%+,xian-jingkai-no10-workbuddy,教育,published,true,true,5,
5,江西工程学院 · 用 WorkBuddy 把学生 Bug 修复效率提 30%,jiangxi-engineering-workbuddy,教育,published,true,true,6,
6,斯恩升学 · 用 ima+WorkBuddy 把方案制作从 6 小时压到分钟级,siensheng-ima-workbuddy,教育,published,true,false,0,
7,联想开天 × 腾讯 WorkBuddy · 国产信创 AI PC 跑通中小学教务,lenovo-kaitian-workbuddy,教育,published,true,false,0,
8,伊利集团 · 用 ADP 让 4 万一线人员用上对话级 Agent,yili-adp-frontline-agent,零售快消,published,true,false,0,
9,茶颜悦色 · 用 AI 面试与小诸葛把门店从凭感觉变靠数据,chayan-yuese-ai-interview,零售快消,published,true,false,0,
10,鸣鸣很忙 · 用 AI 巡检把万店巡店从人力黑洞里捞出来,mingming-henmang-ai-inspection,零售快消,published,true,false,0,
11,创梦天地 · 用 CodeBuddy 让 70%+ 工程师用上 AI 辅助编码,idreamsky-codebuddy,游戏文娱,published,true,false,0,
12,游族网络 · 用全员 Agent 工作流打通模型壁垒、放大各岗位产能,youzu-agent-workflow,游戏文娱,published,true,false,0,
13,淘米网络 · 用 CodeBuddy 接手重复活、美术 IP 衍生效率涨近 80%,taomee-codebuddy-ip,游戏文娱,published,true,false,0,
14,中国银行 · 用智能体把 4000+ AI 模型规模化落到全行业务,bank-of-china-agents,金融财税,published,true,false,0,
15,招商银行 · 用 CodeBuddy 私有化沉淀 AISE 建设能力,cmb-codebuddy-aise,金融财税,published,true,false,0,
16,慧算账 · 用 ClawPro 让一个会计带 N 个数字员工,huisuanzhang-clawpro,金融财税,published,true,false,0,
17,中港星 / 司盟企服 · 用 WorkBuddy 给 21 年专业服务提提速,zhonggangxing-workbuddy,金融财税,published,true,false,0,
18,找钢网 · 用 ADP 把沟通即交易从头跑通钢铁 B2B,zhaogang-adp-b2b,贸易物流,published,true,false,0,
19,某 200 人外贸企业 · 用开发信流水线+IP 内容矩阵把获客全链路跑通,foreign-trade-outreach-pipeline,贸易物流,published,true,false,0,
20,某港口集团 · 用 WorkBuddy 把集团财务、票据与经营分析全链路跑通,port-group-workbuddy-finance,贸易物流,published,true,false,0,
21,某物业集团 · 上千项目管家被填表困住、服务响应效率低,property-group-butler,物业地产,published,true,false,0,
22,万科-万物云 · 用 CodeBuddy 公有云版把周编码时间砍半,vanke-onewo-codebuddy,物业地产,published,true,false,0,
23,某医药零售集团 · 用 WorkBuddy+CodeBuddy 把研发与数据链路提效约 50%,pharma-retail-workbuddy-codebuddy,其他,published,true,false,0,
24,某全国性人力资源服务集团 · 用 HR 超级工作站把招聘全链路与人事合规一次跑通,hr-service-group-super-workstation,其他,published,true,false,0,
25,华住集团 · 用 ADP 华小 AI 自动处理 70%+ 高频住客问询,huazhu-adp-guest-inquiry,其他,published,true,false,0,
26,中兴通讯 · 用原生 WorkBuddy AI 云电脑内置 100+ 领域专家,zte-workbuddy-cloud-pc,其他,published,true,false,0,
